States,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Alabama,178,245,276,295,217,186,210,141,144,139,123,123,143,158,133,160,173,150,155,115,148,156,159,214,162,171,170,196,216,176,209,165,188,201,177,150
Arizona,515,581,547,530,583,494,506,500,381,302,326,229,250,184,182,188,179,143,147,131,102,111,101,90,110,123,88,105,100,111,103,89,91,85,120,125
Arkansas,140,153,192,149,165,114,71,79,66,57,73,86,85,85,84,71,97,99,94,82,56,61,40,43,43,49,64,57,53,51,63,53,43,44,40,22
California,1908,2160,2093,2015,1927,1823,1677,1680,1508,1444,1436,1441,1396,1210,1109,1219,1222,1292,1152,1217,1111,1027,946,909,882,940,912,898,893,864,939,923,1032,1037,986,1014
Colorado,260,323,241,247,226,206,206,163,143,138,189,148,159,172,145,112,102,125,141,130,119,107,88,90,95,75,89,82,101,82,126,92,95,112,111,120
Connecticut,140,176,160,179,159,171,111,137,87,93,86,92,87,103,72,98,69,77,82,74,71,81,54,59,54,58,73,72,70,67,90,58,75,77,80,82
Delaware,34,25,24,20,20,31,23,26,23,26,41,28,25,18,12,14,11,2,3,2,2,1,3,3,0,0,3,1,1,0,0,0,0,0,0,0
District of Columbia,203,235,242,274,246,188,199,222,187,129,152,122,120,120,127,108,81,127,129,91,71,75,72,61,83,95,91,92,109,110,96,136,151,122,157,182
Florida,1193,1513,1287,1412,1235,1084,912,893,882,755,676,693,756,753,698,739,706,606,676,585,512,497,549,510,524,503,505,445,461,380,385,384,371,371,344,328
Georgia,542,651,658,491,430,381,304,336,335,288,292,313,293,284,247,233,267,261,228,229,203,204,230,216,201,211,207,154,163,171,177,173,148,207,167,211
Hawaii,32,62,41,38,36,47,42,39,43,50,34,13,33,38,31,37,30,38,37,25,38,38,32,31,39,22,23,23,10,19,17,33,22,22,26,14
Illinois,921,996,881,597,605,525,481,426,314,370,382,334,380,345,394,401,359,413,412,392,376,362,305,354,316,278,307,361,351,299,264,273,255,231,254,268
Indiana,192,249,289,299,233,184,166,174,178,188,182,211,160,161,140,137,144,119,207,169,174,166,119,104,97,133,102,111,124,128,112,120,98,109,102,116
