States,Diabetes Status,Relationship,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Alabama,All Diabetes,All Donor Relations,233,299,333,353,296,275,307,216,221,234,242,206,249,246,265,260,310,318,331,272,321,318,304,326,289,275,279,281,300,267,313,239,251,263,238,210
,,"Biological, blood related Parent",2,4,3,4,7,6,4,5,3,6,9,7,12,12,11,7,9,14,16,11,19,19,19,12,22,12,28,25,19,21,29,20,24,23,23,14
,,"Biological, blood related Child",8,1,16,4,6,12,19,6,5,14,19,13,15,12,18,16,32,24,33,27,44,26,26,22,18,14,14,5,9,12,12,10,3,1,4,4
,,"Biological, blood related Identical Twin",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",4,9,2,7,9,7,12,10,10,15,22,17,21,15,28,21,30,32,49,48,33,57,55,34,44,46,38,33,41,31,49,34,30,28,31,39
,,"Biological, blood related Half Sibling",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,2,1,1,1,0,0,3,0,0,2,0,0,0
,,"Biological, blood related Other Relative",5,6,5,2,7,7,2,4,9,5,14,6,17,11,17,10,12,25,14,5,20,19,8,4,13,6,10,5,7,3,3,3,4,1,2,3
,,"Non-Biological, Spouse",4,3,7,8,10,7,7,6,9,12,13,10,11,10,22,15,26,35,22,32,26,11,9,13,21,18,15,9,8,4,8,5,0,0,0,0
,,"Non-Biol,unrel: Paired Donation",4,10,9,14,11,23,23,18,21,7,15,0,0,2,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biol,unrel: Anonymous Donation",1,3,2,2,1,0,2,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",178,245,276,295,217,186,210,141,144,139,123,123,143,158,133,160,173,150,155,115,148,156,159,214,162,171,170,196,216,176,209,165,188,201,177,150
,,"Non-Biological, Other Unrelated Directed",15,18,13,16,28,27,28,25,20,35,26,30,29,23,33,30,28,32,41,34,31,26,23,25,8,6,3,8,0,1,3,1,0,2,1,0
,,NOT REPORTED,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,16,0,1,0,7,0,0
,Diabetes Status Unknown,All Donor Relations,0,0,0,1,0,0,0,0,1,0,1,2,7,5,7,17,8,26,43,23,4,3,2,10,12,1,0,2,2,2,0,0,0,1,0,0
,,"Biological, blood related Parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,3,1,1,0,2,2,0,0,0,0,1,0,0,0,1,0,0
,,"Biological, blood related Child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Biological, blood related Full Sibling",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,2,6,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0
,,"Biological, blood related Other Relative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,"Non-Biological, Spouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
,,"Deceased Donor Transplant, Not Applicabl",0,0,0,1,0,0,0,0,1,0,1,2,7,4,2,13,4,14,13,5,3,1,1,3,2,1,0,1,2,0,0,0,0,0,0,0
