States,Diabetes Status,Age Group,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Alabama,All Diabetes,All Recipient Ages,233,299,333,353,296,275,307,216,221,234,242,206,249,246,265,260,310,318,331,272,321,318,304,326,289,275,279,281,300,267,313,239,251,263,238,210
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,1,4,5,3,4,4,1,3,1,4,4,1,7,7,5,2,8,5,7,3,4,4,1,2,2,1,1,4,3,0,3,6,1,5,3,1
,,6-10 Years,3,3,2,2,2,2,5,4,1,1,0,7,2,2,2,2,4,3,5,0,5,6,2,2,3,1,3,3,3,1,2,3,4,6,4,0
,,11-17 Years,4,7,4,5,5,7,12,6,8,12,9,11,13,14,13,16,9,12,9,8,20,10,10,9,9,7,14,12,12,8,12,8,9,9,8,9
,,18-34 Years,22,35,37,41,37,31,42,22,36,28,32,18,29,30,35,31,37,54,64,51,62,63,53,65,66,64,74,67,74,86,82,67,77,96,90,74
,,35-49 Years,66,80,67,84,80,76,95,74,73,66,62,67,60,78,57,78,104,109,97,102,89,107,115,114,100,102,107,117,111,99,131,95,112,99,90,90
,,50-64 Years,101,120,159,149,126,114,121,84,80,88,107,81,99,90,119,105,117,113,122,85,115,109,111,119,93,94,76,72,92,68,77,54,47,47,41,35
,,65 +,36,50,59,69,42,41,31,23,22,35,28,21,39,25,34,26,31,22,27,23,26,18,12,15,16,6,4,6,5,5,6,6,1,1,2,1
,Diabetes Status Unknown,All Recipient Ages,0,0,0,1,0,0,0,0,1,0,1,2,7,5,7,17,8,26,43,23,4,3,2,10,12,1,0,2,2,2,0,0,0,1,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,6,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,10,4,1,1,0,4,6,0,0,0,1,1,0,0,0,0,0,0
,,35-49 Years,0,0,0,1,0,0,0,0,1,0,0,1,2,2,1,3,3,6,6,7,2,1,0,1,5,1,0,1,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,3,3,6,10,6,1,1,2,3,1,0,0,0,1,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,No,All Recipient Ages,167,194,207,215,193,179,212,153,146,164,174,141,169,186,172,186,213,194,190,170,246,232,220,228,198,216,209,197,226,53,1,0,0,0,2,0
,,< 1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,1,4,5,3,4,4,1,3,1,4,4,1,7,7,4,2,8,2,0,1,4,4,1,2,2,1,1,4,3,0,0,0,0,0,0,0
,,6-10 Years,3,3,2,2,2,2,5,4,0,1,0,7,2,2,2,2,4,0,3,0,5,6,2,0,3,1,3,3,3,1,0,0,0,0,0,0
,,11-17 Years,4,7,4,5,5,7,11,6,8,11,8,11,13,14,12,11,9,6,4,5,19,10,10,9,9,7,13,12,12,3,1,0,0,0,0,0
,,18-34 Years,21,34,33,37,35,28,39,20,34,25,29,18,23,29,32,27,35,44,45,36,55,50,42,46,50,55,67,53,59,20,0,0,0,0,1,0
,,35-49 Years,53,61,51,64,60,47,72,56,52,53,49,47,38,63,39,61,79,73,55,71,67,81,78,78,69,82,72,79,83,16,0,0,0,0,1,0
,,50-64 Years,62,54,80,75,66,72,66,51,40,51,65,47,61,61,63,69,67,58,67,43,77,65,78,81,55,65,52,41,64,13,0,0,0,0,0,0
,,65 +,23,31,32,29,21,19,18,13,11,19,19,10,25,10,20,14,11,11,16,14,19,15,9,12,10,5,1,5,2,0,0,0,0,0,0,0
,Type I,All Recipient Ages,4,8,7,6,11,14,12,6,8,12,5,4,4,5,8,3,9,12,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,1,1,2,1,3,1,0,1,2,0,0,1,0,0,0,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,35-49 Years,3,3,2,1,6,5,7,4,5,5,2,3,0,3,5,1,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,1,3,3,0,4,5,2,2,1,4,3,1,3,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,1,1,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,61,96,115,129,83,69,83,57,65,57,30,19,17,17,34,19,22,17,8,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,0,3,2,1,0,2,2,0,1,2,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,10,16,14,18,14,19,16,14,15,8,4,5,4,4,2,5,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,37,63,73,72,48,33,53,31,39,32,18,12,10,9,23,12,15,7,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,13,17,25,37,20,17,12,10,11,16,6,2,2,4,7,2,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,1,1,4,2,8,13,0,0,1,1,31,40,51,33,43,35,58,69,81,65,70,81,76,78,64,57,67,75,53,26,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,1,1,4,8,8,6,12,10,12,8,9,6,13,11,9,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,5,0,0,0,0,7,11,15,6,10,8,17,18,28,17,20,24,32,31,20,19,33,34,21,14,0,0,0,0,0,0
,,50-64 Years,1,0,3,2,7,4,0,0,0,1,20,20,22,17,26,19,30,40,40,32,36,42,31,33,32,28,24,28,20,3,0,0,0,0,0,0
,,65 +,0,1,1,0,1,4,0,0,0,0,3,9,11,10,6,7,10,7,5,8,7,3,3,2,4,1,3,0,1,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,10,15,1,2,7,19,186,312,239,251,262,236,210
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,5,3,1
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,8,9,9,8,9
