State,Duration,< 30 Days,30 to < 90 Days,90 Days to < 6 Months,6 Months to < 1 Year,1 Year to < 2 Years,2 Years to < 3 Years,3 Years to < 5 Years,5 or More Years
Alabama, ,54,83,110,199,272,138,121,75
Arizona, ,87,174,202,238,279,152,123,108
Arkansas, ,12,33,25,32,45,11,12,6
California, ,487,870,1135,2128,3489,2466,3907,3816
Colorado, ,48,110,150,159,275,146,130,62
Connecticut, ,29,73,86,145,213,152,153,89
Delaware, ,6,7,15,21,31,9,43,15
District of Columbia, ,37,78,79,216,283,174,191,105
Florida, ,264,429,609,909,1064,524,588,284
Georgia, ,124,204,232,362,567,411,352,286
Hawaii, ,11,4,16,44,47,61,67,48
Illinois, ,164,291,368,565,734,543,455,291
Indiana, ,61,84,100,203,285,169,116,55
Iowa, ,25,37,71,122,131,68,65,27
Kansas, ,23,31,54,58,91,36,26,0
Kentucky, ,44,75,88,146,236,123,125,42
Louisiana, ,71,128,170,299,413,275,273,150
Maine, ,6,7,21,47,64,75,37,6
Maryland, ,60,104,153,186,366,259,287,248
Massachusetts, ,102,173,298,464,775,710,678,449
Michigan, ,88,171,220,372,499,296,245,194
Minnesota, ,80,124,197,243,411,305,268,260
Mississippi, ,20,35,52,36,65,101,119,54
Missouri, ,106,150,191,312,413,249,181,115
Nebraska, ,25,26,45,74,66,30,4,2
Nevada, ,23,46,49,64,78,25,10,8
New Hampshire, ,12,13,21,32,38,23,11,9
New Jersey, ,95,186,217,369,577,361,398,189
New Mexico, ,16,15,26,60,82,66,84,76
New York, ,293,465,575,988,1613,983,1126,964
North Carolina, ,139,259,345,535,877,505,519,291
North Dakota, ,9,9,9,24,23,16,13,14
Ohio, ,132,166,226,322,426,295,228,183
Oklahoma, ,26,42,67,118,153,96,68,23
Oregon, ,32,52,80,120,159,124,76,37
Pennsylvania, ,180,340,562,833,1279,927,1040,748
Puerto Rico, ,24,45,37,68,76,46,45,28
Rhode Island, ,9,17,27,34,43,54,62,42
South Carolina, ,65,113,200,277,400,232,178,100
South Dakota, ,26,27,36,67,80,54,44,38
Tennessee, ,110,212,280,467,737,378,398,179
Texas, ,410,693,882,1347,2043,1261,1341,811
Utah, ,47,55,82,132,200,89,58,32
Vermont, ,5,1,6,21,21,9,11,3
Virginia, ,129,221,273,427,563,417,362,178
Washington, ,47,67,116,207,279,181,208,116
West Virginia, ,16,14,16,22,39,11,11,4
Wisconsin, ,63,106,150,176,299,183,170,112
