States,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Alabama,55,54,57,58,79,89,97,75,77,95,119,83,106,88,132,100,137,168,176,157,173,162,145,112,127,104,109,85,84,91,104,74,63,62,61,60
Arizona,139,152,140,118,143,144,121,109,121,130,141,148,181,172,204,161,174,166,148,147,134,137,130,90,85,59,60,32,37,42,46,20,22,36,27,15
Arkansas,6,7,1,2,7,8,4,9,14,10,12,22,15,15,29,16,22,31,38,38,39,39,37,45,49,44,37,32,46,38,28,36,26,19,21,14
California,556,626,609,576,692,663,604,607,690,595,649,632,602,729,713,707,690,639,662,743,733,670,650,620,500,523,480,441,409,388,367,284,250,182,166,178
Colorado,115,148,124,104,146,155,152,102,102,105,91,104,122,142,115,116,107,118,111,81,79,77,81,95,61,75,51,39,37,26,25,16,10,21,11,13
Connecticut,75,83,77,60,84,93,92,70,74,67,65,65,66,74,75,52,59,54,42,48,58,74,85,75,70,70,55,51,44,31,26,30,15,22,20,20
Delaware,12,7,8,3,10,5,10,7,5,5,8,8,10,10,5,7,9,0,0,3,2,5,4,2,0,1,0,1,3,1,1,0,0,0,0,0
District of Columbia,71,105,127,136,153,144,119,107,89,62,46,46,57,93,109,79,79,93,92,84,113,103,98,106,120,112,44,67,55,54,63,73,62,52,33,31
Florida,263,281,227,227,344,294,239,228,231,225,273,236,220,241,204,203,200,222,227,250,199,153,193,154,171,127,127,120,121,93,77,80,91,92,86,69
Georgia,129,157,176,155,244,209,161,175,189,176,163,146,169,161,134,118,127,109,115,150,110,124,104,98,72,62,53,80,110,92,76,89,78,65,69,60
Hawaii,0,1,5,4,5,7,4,10,8,10,10,3,7,7,15,16,12,15,33,16,11,21,13,7,9,12,5,6,7,7,4,4,5,3,7,2
Illinois,239,267,320,225,305,273,241,261,209,243,295,312,328,369,347,325,310,382,363,322,328,310,269,235,179,210,160,147,146,121,99,68,76,67,61,67
Indiana,43,54,62,59,83,93,94,95,85,88,100,89,113,124,134,100,92,107,76,80,59,67,65,58,49,50,45,34,31,29,50,43,33,44,42,30
Iowa,50,47,55,30,40,39,36,39,38,42,42,45,53,54,53,39,32,39,46,59,61,49,54,61,53,50,34,38,28,39,33,23,22,16,13,13
Kansas,30,21,33,28,37,43,26,25,20,22,21,28,18,29,23,30,18,22,25,19,31,27,28,25,24,18,18,17,20,14,13,12,14,7,10,8
Kentucky,52,56,53,39,43,55,45,39,38,36,36,26,31,21,34,36,44,26,49,35,38,37,47,41,32,23,30,29,33,29,29,30,35,31,29,30
Louisiana,72,83,88,60,102,79,93,77,52,69,68,62,68,66,74,66,87,63,70,106,79,69,74,66,51,46,55,50,41,58,46,37,44,25,26,31
Maine,18,22,24,31,21,26,28,22,27,27,19,18,27,20,24,23,24,27,19,26,28,30,39,26,20,13,17,14,12,10,6,7,6,10,11,12
Maryland,71,93,70,77,115,129,119,120,171,169,196,188,154,151,172,153,156,206,192,201,182,190,232,247,236,193,174,110,89,56,55,41,19,13,15,19
