States,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
Alabama,486,585,458,386,488,476,457,332,260,570,721,877,734,863,890,779,899,900,797,790,762,737,748,633,538,443,379,410,401
Arizona,971,1005,925,816,824,883,858,967,777,767,800,838,720,681,609,654,610,611,456,421,355,324,442,289,370,273,215,172,193
Arkansas,174,225,208,191,193,157,131,100,119,119,170,143,138,168,151,154,159,192,150,99,107,104,107,92,119,113,117,114,121
California,4607,5299,4745,4924,5566,5416,4808,5029,4899,5248,5134,4961,4725,4792,4856,4965,5228,5254,5450,5576,4378,4041,3571,3515,3252,2914,2873,2496,2466
Colorado,574,608,599,535,545,536,666,589,576,628,593,493,651,549,525,469,450,471,462,335,330,270,304,326,336,291,252,232,183
Connecticut,352,422,401,428,410,332,350,353,351,359,374,377,320,380,421,412,279,147,177,180,136,193,225,192,197,230,215,194,259
Delaware,55,58,26,83,54,57,70,66,57,87,132,106,118,136,123,152,146,9,3,6,3,6,5,4,1,1,3,4,3
District of Columbia,475,563,566,509,686,755,568,608,968,571,480,345,300,319,350,298,366,428,386,389,426,427,447,353,370,392,288,261,274
Florida,2711,2970,2246,2224,2756,2450,2165,1936,1906,1927,2071,1841,1535,1526,1470,1458,1559,1488,1356,1221,1108,1117,1192,969,953,887,772,766,720
Georgia,1053,1149,1340,1124,1291,1447,1354,1606,1836,1572,1290,1186,1118,1013,1004,1173,893,786,610,597,612,502,540,647,441,277,337,335,297
Hawaii,75,71,103,123,79,79,83,94,129,109,158,32,94,118,113,74,120,85,94,149,95,122,147,107,66,72,70,42,67
Illinois,1784,1809,1883,1450,1512,1225,1236,1229,1329,1354,1518,1483,1516,1476,1390,1286,1267,1464,1392,1277,1314,1175,965,1115,1143,1048,950,1048,880
Indiana,480,549,607,396,523,551,433,544,493,568,568,608,546,592,600,509,518,444,413,319,270,231,186,197,211,196,180,177,153
Iowa,290,358,345,324,381,276,329,353,312,293,271,250,277,286,254,224,227,160,154,125,160,147,159,143,124,127,115,124,145
Kansas,194,245,249,206,217,187,167,172,136,230,174,199,253,256,215,211,181,161,134,106,118,133,115,120,97,75,70,68,78
Kentucky,369,410,418,389,372,377,348,383,289,312,291,341,334,239,222,218,240,233,157,179,155,166,187,195,257,147,131,174,168
Louisiana,687,717,652,630,664,667,569,566,698,619,582,484,514,538,599,767,599,475,399,498,486,422,379,387,436,377,309,287,314
Maine,77,93,136,85,66,62,56,56,60,72,37,61,56,68,69,49,64,114,87,53,63,69,41,84,77,63,56,51,52
Maryland,543,662,628,614,779,828,919,892,1051,1285,1256,770,825,887,816,557,543,672,703,643,494,767,772,1021,827,693,710,747,585
Massachusetts,961,1178,1304,1015,1091,1070,1060,975,932,763,802,699,650,732,755,668,682,590,616,686,584,499,487,456,480,444,359,523,489
Michigan,954,1058,951,744,924,942,927,1104,1232,1070,1075,1101,909,1025,924,998,1035,1215,1190,1031,799,771,731,635,775,648,662,641,692
Minnesota,730,888,967,752,864,917,841,763,716,873,861,846,746,729,730,703,752,688,634,563,553,567,495,567,589,422,380,436,439
Mississippi,188,103,287,369,403,309,201,228,209,254,242,224,90,93,98,124,111,84,90,57,52,63,63,64,57,70,83,76,106
Missouri,846,872,892,720,740,796,713,761,677,596,598,696,619,554,577,608,630,611,562,579,401,441,420,494,478,420,386,379,401
Nebraska,237,228,216,146,207,208,183,197,188,186,175,173,182,171,165,139,137,181,167,115,124,93,102,113,146,97,103,105,121
Nevada,242,252,159,89,86,115,119,120,105,124,76,63,64,69,57,71,150,134,121,107,58,119,107,126,112,108,94,50,55
New Hampshire,71,58,56,61,34,51,40,44,48,57,63,52,63,65,68,68,87,59,54,37,64,38,30,20,21,19,28,18,39
New Jersey,1050,1155,1015,944,1098,819,804,856,890,990,973,1043,1049,1024,1009,965,1032,937,988,991,1026,816,833,813,905,536,579,484,420
New Mexico,116,133,155,124,166,205,174,122,132,153,153,149,152,160,155,139,109,111,88,79,94,84,88,81,85,98,104,135,165
New York,2668,3163,2858,2497,3210,3148,2805,2497,2291,2452,2790,2760,2632,2407,2696,2839,2570,2434,2075,1611,1547,1540,1413,1630,1512,1514,1585,1442,1361
North Carolina,1386,1652,1376,1215,1424,1308,1177,1033,976,1087,959,986,1227,1203,1125,919,941,831,779,656,730,668,574,560,583,530,502,552,540
North Dakota,55,60,59,70,54,84,69,86,72,73,53,50,60,47,54,43,49,62,40,44,42,64,74,71,47,45,39,37,50
Ohio,1316,1486,1567,1499,1513,1327,1033,1021,1084,1029,1125,1017,1013,1163,922,1041,1063,1044,923,815,822,781,851,800,819,702,676,602,712
Oklahoma,276,322,296,262,344,334,299,290,265,325,359,322,253,326,305,273,203,189,206,166,157,195,178,172,188,163,190,156,160
Oregon,343,399,435,391,428,369,327,315,342,311,274,292,352,339,268,237,213,218,207,201,205,200,165,117,120,121,152,145,138
Pennsylvania,1978,2183,2297,2051,2455,2184,2256,2280,2017,2409,2353,2322,2036,2503,2486,2473,2339,2246,2041,1879,1655,1525,1394,1653,1462,1370,1434,1347,1226
Puerto Rico,168,130,103,79,147,144,159,175,222,244,174,177,146,167,187,174,137,156,162,178,133,118,96,149,131,68,77,52,37
Rhode Island,90,70,104,83,89,96,104,97,105,67,90,88,90,93,93,60,68,73,75,68,84,65,86,86,61,85,49,0,0
South Carolina,769,919,811,621,560,477,404,367,422,253,218,246,360,321,353,293,337,205,221,191,211,235,275,295,241,232,144,218,129
South Dakota,137,136,123,113,109,109,110,137,124,114,132,122,104,104,114,90,86,69,85,81,49,51,40,47,51,33,28,34,29
State unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tennessee,1210,1409,1222,1131,1335,1112,1075,1094,1061,1003,865,852,787,806,850,743,739,722,637,619,562,541,464,451,431,430,403,371,350
Texas,3730,4311,4159,3703,4451,4020,3440,3337,3162,3202,3384,3311,3131,3343,3329,3006,2958,2520,2111,1959,1884,1888,1717,1564,1556,1320,1221,1109,1045
Utah,395,521,459,378,362,347,266,318,289,303,286,300,296,191,149,154,140,120,101,122,124,103,95,89,117,108,95,115,103
Vermont,29,33,29,26,20,35,38,28,29,28,50,45,39,40,64,56,47,49,50,38,33,26,8,27,15,23,26,24,36
Virginia,1136,1215,1178,1074,1132,1010,787,716,630,865,946,842,947,1022,842,795,852,967,851,664,695,595,547,468,524,664,463,401,437
Washington,504,618,645,592,705,643,653,624,605,617,601,569,593,597,517,495,483,481,484,440,401,354,367,330,395,383,274,337,383
West Virginia,127,172,141,153,86,64,72,55,81,44,85,49,52,72,65,58,95,86,85,77,59,83,78,79,76,73,68,72,74
Wisconsin,591,664,605,604,639,682,726,728,675,792,821,785,789,747,688,645,641,593,610,726,514,644,592,533,564,548,535,504,492
